annual_GHI_kWh_per_m2_yr,farm_size_ha,surplus_kWh_yr,npv_eur,npv_additive_eur,payback_yr
1257.6271186440677,1.4208308325339223,2740.9336839181206,-5114.825282769121,-64593.91298664028,15.0
1283.0508474576272,1.4208308325339223,2805.5430818344794,-5114.825282769121,-64593.91298664028,15.0
1308.4745762711864,1.4208308325339223,2870.152479750837,-5114.825282769121,-64593.91298664028,15.0
1333.8983050847457,1.4208308325339223,2934.7618776671948,-5114.825282769121,-64593.91298664028,15.0
1359.322033898305,1.4208308325339223,2999.371275583553,-5114.825282769121,-64593.91298664028,15.0
1384.7457627118642,1.4208308325339223,3063.9806734999106,-5114.825282769121,-64593.91298664028,15.0
1410.1694915254238,1.4208308325339223,3128.5900714162694,-5114.825282769121,-64593.91298664028,15.0
1435.593220338983,1.4208308325339223,3193.199469332627,-5114.825282769121,-64593.91298664028,15.0
1461.0169491525423,1.4208308325339223,3257.8088672489853,-5114.825282769121,-64593.91298664028,15.0
1486.4406779661017,1.4208308325339223,3322.418265165343,-5114.825282769121,-64593.91298664028,15.0
1511.864406779661,1.4208308325339223,3387.0276630817016,-5114.825282769121,-64593.91298664028,15.0
1537.2881355932204,1.4208308325339223,3451.6370609980595,-5114.825282769121,-64593.91298664028,15.0
1562.7118644067796,1.4208308325339223,3516.2464589144174,-5114.825282769121,-64593.91298664028,15.0
1588.135593220339,1.4208308325339223,3580.8558568307753,-5114.825282769121,-64593.91298664028,15.0
1613.5593220338983,1.4208308325339223,3645.4652547471337,-5114.825282769121,-64593.91298664028,15.0
1638.9830508474577,1.4208308325339223,3710.0746526634916,-5114.825282769121,-64593.91298664028,15.0
1664.406779661017,1.4208308325339223,3774.6840505798496,-5114.825282769121,-64593.91298664028,15.0
1689.8305084745762,1.4208308325339223,3839.2934484962075,-5114.825282769121,-64593.91298664028,15.0
1715.2542372881355,1.4208308325339223,3903.9028464125654,-5114.825282769121,-64593.91298664028,15.0
1740.677966101695,1.4208308325339223,3968.512244328924,-5114.825282769121,-64593.91298664028,15.0
1766.1016949152543,1.4208308325339223,4033.121642245282,-5114.825282769121,-64593.91298664028,15.0
1791.5254237288136,1.4208308325339223,4097.7310401616405,-5114.825282769121,-64593.91298664028,15.0
1816.9491525423728,1.4208308325339223,4162.340438077998,-5114.825282769121,-64593.91298664028,15.0
1842.3728813559321,1.4208308325339223,4226.949835994356,-5114.825282769121,-64593.91298664028,15.0
1867.7966101694915,1.4208308325339223,4291.559233910714,-5114.825282769121,-64593.91298664028,15.0
1893.2203389830509,1.4208308325339223,4356.168631827073,-5114.825282769121,-64593.91298664028,15.0
1918.6440677966102,1.4208308325339223,4420.778029743431,-5114.825282769121,-64593.91298664028,15.0
1944.0677966101696,1.4208308325339223,4485.387427659789,-5114.825282769121,-64593.91298664028,15.0
1969.4915254237287,1.4208308325339223,4549.996825576147,-5114.825282769121,-64593.91298664028,15.0
1994.915254237288,1.4208308325339223,4614.606223492505,-5114.825282769121,-64593.91298664028,15.0
2020.3389830508474,1.4208308325339223,4679.215621408863,-5114.825282769121,-64593.91298664028,15.0
2045.7627118644068,1.4208308325339223,4743.825019325222,-5114.825282769121,-64593.91298664028,15.0
2071.186440677966,1.4208308325339223,4808.434417241579,-5114.825282769121,-64593.91298664028,15.0
2096.610169491525,1.4208308325339223,4873.0438151579365,-5114.825282769121,-64593.91298664028,15.0
2122.0338983050847,1.4208308325339223,4937.653213074295,-5114.825282769121,-64593.91298664028,15.0
2147.4576271186443,1.4208308325339223,5002.262610990654,-5114.825282769121,-64593.91298664028,15.0
2172.8813559322034,1.4208308325339223,5066.872008907011,-5114.825282769121,-64593.91298664028,15.0
2198.3050847457625,1.4208308325339223,5131.481406823369,-5114.825282769121,-64593.91298664028,15.0
2223.728813559322,1.4208308325339223,5196.090804739728,-5114.825282769121,-64593.91298664028,15.0
2249.1525423728813,1.4208308325339223,5260.700202656085,-5114.825282769121,-64593.91298664028,15.0
2274.576271186441,1.4208308325339223,5325.309600572444,-5114.825282769121,-64593.91298664028,15.0
2300.0,1.4208308325339223,5389.918998488802,-5114.825282769121,-64593.91298664028,15.0
800.0,1.5973122800602544,1575.8432790462534,-5089.447384395334,-64568.535088266486,15.0
825.4237288135594,1.5973122800602544,1640.4526769626118,-5089.447384395334,-64568.535088266486,15.0
850.8474576271186,1.5973122800602544,1705.0620748789697,-5089.447384395334,-64568.535088266486,15.0
876.271186440678,1.5973122800602544,1769.6714727953276,-5089.447384395334,-64568.535088266486,15.0
901.6949152542372,1.5973122800602544,1834.2808707116856,-5089.447384395334,-64568.535088266486,15.0
