material,span_m,T_horiz_N,sag_m,mass_per_m_kg
dyneema_sk78_8mm_12strand,75.0,14203.389830508475,0.02233156149188905,0.046
dyneema_sk78_8mm_12strand,75.0,14618.64406779661,0.02169721554711479,0.046
dyneema_sk78_8mm_12strand,75.0,15033.898305084746,0.021097912394597358,0.046
dyneema_sk78_8mm_12strand,75.0,15449.152542372882,0.020530826321932094,0.046
dyneema_sk78_8mm_12strand,75.0,15864.406779661016,0.01999342744666602,0.046
dyneema_sk78_8mm_12strand,75.0,16279.661016949152,0.019483444042670894,0.046
dyneema_sk78_8mm_12strand,75.0,16694.91525423729,0.018998830378660618,0.046
dyneema_sk78_8mm_12strand,75.0,17110.169491525423,0.018537739323669488,0.046
dyneema_sk78_8mm_12strand,75.0,17525.42372881356,0.018098498813175646,0.046
dyneema_sk78_8mm_12strand,75.0,17940.677966101695,0.01767959159739941,0.046
dyneema_sk78_8mm_12strand,75.0,18355.93220338983,0.01727963771277833,0.046
dyneema_sk78_8mm_12strand,75.0,18771.186440677964,0.016897379309846267,0.046
dyneema_sk78_8mm_12strand,75.0,19186.4406779661,0.016531667430898657,0.046
dyneema_sk78_8mm_12strand,75.0,19601.694915254237,0.016181450485901517,0.046
dyneema_sk78_8mm_12strand,75.0,20016.949152542373,0.015845764127631334,0.046
dyneema_sk78_8mm_12strand,75.0,20432.20338983051,0.015523722430496196,0.046
dyneema_sk78_8mm_12strand,75.0,20847.457627118645,0.015214510040103725,0.046
dyneema_sk78_8mm_12strand,75.0,21262.711864406778,0.014917375293938641,0.046
dyneema_sk78_8mm_12strand,75.0,21677.966101694914,0.014631624132783794,0.046
dyneema_sk78_8mm_12strand,75.0,22093.22033898305,0.014356614679194775,0.046
dyneema_sk78_8mm_12strand,75.0,22508.474576271186,0.014091752410329419,0.046
dyneema_sk78_8mm_12strand,75.0,22923.728813559323,0.013836485889562797,0.046
dyneema_sk78_8mm_12strand,75.0,23338.98305084746,0.01359030293301858,0.046
dyneema_sk78_8mm_12strand,75.0,23754.23728813559,0.013352727162541168,0.046
dyneema_sk78_8mm_12strand,75.0,24169.491525423728,0.013123314926399992,0.046
dyneema_sk78_8mm_12strand,75.0,24584.745762711864,0.012901652577197342,0.046
dyneema_sk78_8mm_12strand,75.0,25000.0,0.012687353916940113,0.046
dyneema_sk78_8mm_12strand,100.0,500.0,1.127956009820501,0.046
dyneema_sk78_8mm_12strand,100.0,915.2542372881355,0.6161248868611008,0.046
dyneema_sk78_8mm_12strand,100.0,1330.508474576271,0.42381983287537045,0.046
dyneema_sk78_8mm_12strand,100.0,1745.7627118644068,0.32300507688991037,0.046
dyneema_sk78_8mm_12strand,100.0,2161.016949152542,0.2609361737180374,0.046
dyneema_sk78_8mm_12strand,100.0,2576.271186440678,0.21887679363507406,0.046
dyneema_sk78_8mm_12strand,100.0,2991.5254237288136,0.18849415144898138,0.046
dyneema_sk78_8mm_12strand,100.0,3406.779661016949,0.16551831667198763,0.046
dyneema_sk78_8mm_12strand,100.0,3822.0338983050847,0.14753506287530826,0.046
dyneema_sk78_8mm_12strand,100.0,4237.28813559322,0.13307655472570545,0.046
dyneema_sk78_8mm_12strand,100.0,4652.542372881356,0.12119899921352635,0.046
dyneema_sk78_8mm_12strand,100.0,5067.796610169491,0.11126794328937512,0.046
dyneema_sk78_8mm_12strand,100.0,5483.050847457627,0.1028411345892888,0.046
dyneema_sk78_8mm_12strand,100.0,5898.3050847457625,0.09560086398494054,0.046
dyneema_sk78_8mm_12strand,100.0,6313.559322033898,0.08931300807740807,0.046
dyneema_sk78_8mm_12strand,100.0,6728.813559322034,0.08380123747378536,0.046
dyneema_sk78_8mm_12strand,100.0,7144.067796610169,0.07893022007030814,0.046
dyneema_sk78_8mm_12strand,100.0,7559.322033898305,0.074594360553943,0.046
dyneema_sk78_8mm_12strand,100.0,7974.576271186441,0.0707100580298679,0.046
dyneema_sk78_8mm_12strand,100.0,8389.830508474577,0.06721026295325613,0.046
dyneema_sk78_8mm_12strand,100.0,8805.084745762711,0.06404057424121377,0.046
dyneema_sk78_8mm_12strand,100.0,9220.338983050848,0.06115639102048405,0.046
dyneema_sk78_8mm_12strand,100.0,9635.593220338982,0.05852080091066765,0.046
dyneema_sk78_8mm_12strand,100.0,10050.847457627118,0.05610299171566773,0.046
dyneema_sk78_8mm_12strand,100.0,10466.101694915254,0.05387704129858956,0.046
dyneema_sk78_8mm_12strand,100.0,10881.355932203389,0.051820984480127306,0.046
dyneema_sk78_8mm_12strand,100.0,11296.610169491525,0.04991608578633641,0.046
dyneema_sk78_8mm_12strand,100.0,11711.864406779661,0.04814626687038484,0.046
dyneema_sk78_8mm_12strand,100.0,12127.118644067796,0.04649765159676699,0.046
dyneema_sk78_8mm_12strand,100.0,12542.372881355932,0.04495820147405366,0.046
dyneema_sk78_8mm_12strand,100.0,12957.627118644068,0.04351742122095504,0.046
dyneema_sk78_8mm_12strand,100.0,13372.881355932202,0.04216611915059359,0.046
dyneema_sk78_8mm_12strand,100.0,13788.135593220339,0.040896210871629715,0.046
dyneema_sk78_8mm_12strand,100.0,14203.389830508475,0.03970055741821914,0.046
