site,panel_area_m2,battery_capacity_Wh,annual_grid_hours,annual_grid_kWh,annual_curtailed_kWh
Palencia_ES,24.22222222222222,21555.555555555555,818.0,577.3250668438454,2186.060656221277
Palencia_ES,24.22222222222222,24000.0,810.0,574.391733510512,2183.8963043694253
Palencia_ES,27.11111111111111,2000.0,778.0,509.0980721702672,2847.5692678569408
Palencia_ES,27.11111111111111,4444.444444444444,720.0,482.99472574949107,2820.263842776527
Palencia_ES,27.11111111111111,6888.888888888889,713.0,478.3669160175238,2816.2608663601854
Palencia_ES,27.11111111111111,9333.333333333332,708.0,475.4335826841904,2814.096514508333
Palencia_ES,27.11111111111111,11777.777777777777,702.0,472.5002493508572,2811.9321626564806
Palencia_ES,27.11111111111111,14222.222222222223,699.0,469.5669160175238,2809.767810804629
Palencia_ES,27.11111111111111,16666.666666666664,696.0,466.6335826841905,2807.603458952777
Palencia_ES,27.11111111111111,19111.11111111111,689.0,463.7002493508572,2805.4391071009263
Palencia_ES,27.11111111111111,21555.555555555555,685.0,460.7669160175238,2803.2747552490746
Palencia_ES,27.11111111111111,24000.0,682.0,457.83358268419045,2801.110403397223
Palencia_ES,30.0,2000.0,661.0,410.52042684092964,3482.027948799975
Palencia_ES,30.0,4444.444444444444,624.0,393.0333194308493,3464.0717413960974
Palencia_ES,30.0,6888.888888888889,619.0,390.0999860975159,3461.9073895442457
Palencia_ES,30.0,9333.333333333332,614.0,387.1666527641826,3459.743037692393
Palencia_ES,30.0,11777.777777777777,610.0,384.23331943084924,3457.578685840541
Palencia_ES,30.0,14222.222222222223,606.0,381.2999860975159,3455.4143339886896
Palencia_ES,30.0,16666.666666666664,604.0,378.3666527641826,3453.2499821368374
Palencia_ES,30.0,19111.11111111111,599.0,375.4333194308493,3451.0856302849875
Palencia_ES,30.0,21555.555555555555,594.0,372.499986097516,3448.9212784331357
Palencia_ES,30.0,24000.0,591.0,369.56665276418266,3446.756926581284
Beauce_FR,4.0,2000.0,3080.0,3575.261369277444,0.6525904602016989
Beauce_FR,4.0,4444.444444444444,3078.0,3573.721275242655,0.0
Beauce_FR,4.0,6888.888888888889,3078.0,3572.7826085759884,0.0
Beauce_FR,4.0,9333.333333333332,3077.0,3571.8439419093215,0.0
Beauce_FR,4.0,11777.777777777777,3077.0,3570.905275242655,0.0
Beauce_FR,4.0,14222.222222222223,3076.0,3569.9666085759886,0.0
Beauce_FR,4.0,16666.666666666664,3076.0,3569.027941909322,0.0
Beauce_FR,4.0,19111.11111111111,3075.0,3568.0892752426553,0.0
Beauce_FR,4.0,21555.555555555555,3075.0,3567.1506085759884,0.0
Beauce_FR,4.0,24000.0,3074.0,3566.211941909322,0.0
Beauce_FR,6.888888888888889,2000.0,2723.0,3066.4202002016987,54.93137232262932
Beauce_FR,6.888888888888889,4444.444444444444,2702.0,3014.856780802497,0.0
Beauce_FR,6.888888888888889,6888.888888888889,2702.0,3013.91811413583,0.0
Beauce_FR,6.888888888888889,9333.333333333332,2701.0,3012.9794474691635,0.0
Beauce_FR,6.888888888888889,11777.777777777777,2701.0,3012.0407808024966,0.0
Beauce_FR,6.888888888888889,14222.222222222223,2700.0,3011.1021141358297,0.0
Beauce_FR,6.888888888888889,16666.666666666664,2700.0,3010.1634474691637,0.0
Beauce_FR,6.888888888888889,19111.11111111111,2699.0,3009.2247808024968,0.0
Beauce_FR,6.888888888888889,21555.555555555555,2699.0,3008.28611413583,0.0
Beauce_FR,6.888888888888889,24000.0,2698.0,3007.347447469164,0.0
Beauce_FR,9.777777777777779,2000.0,2528.0,2636.1565476980136,194.33115716381187
Beauce_FR,9.777777777777779,4444.444444444444,2365.0,2460.735383262103,5.005530244059952
Beauce_FR,9.777777777777779,6888.888888888889,2361.0,2455.183619922511,0.0
Beauce_FR,9.777777777777779,9333.333333333332,2360.0,2454.2449532558444,0.0
Beauce_FR,9.777777777777779,11777.777777777777,2360.0,2453.3062865891775,0.0
Beauce_FR,9.777777777777779,14222.222222222223,2359.0,2452.3676199225115,0.0
Beauce_FR,9.777777777777779,16666.666666666664,2359.0,2451.428953255844,0.0
Beauce_FR,9.777777777777779,19111.11111111111,2358.0,2450.4902865891777,0.0
Beauce_FR,9.777777777777779,21555.555555555555,2358.0,2449.5516199225112,0.0
Beauce_FR,9.777777777777779,24000.0,2357.0,2448.6129532558443,0.0
Beauce_FR,12.666666666666666,2000.0,2330.0,2227.5613319894965,357.1473145624126
Beauce_FR,12.666666666666666,4444.444444444444,2006.0,1964.076595290857,72.26659621174808
Beauce_FR,12.666666666666666,6888.888888888889,1931.0,1912.0026803694811,16.78130079648198
Beauce_FR,12.666666666666666,9333.333333333332,1917.0,1903.9116499651632,9.020489449204034
Beauce_FR,12.666666666666666,11777.777777777777,1913.0,1900.97831663183,6.856137597352189
